RSV Season,Month,Vax date,0 months-7 months DOB range,0 months-7 months numerator,0 months-7 months population,8 months-19 months DOB range,8 months-19 months numerator,8 months-19 months population,60+ years DOB range,60+ years numerator,60+ years population,0 months-19 months DOB range,0 months-19 months numerator,0 months-19 months population,Report Due Date
2023-24,Aug,7/1/2023-8/31/2023,1/31/2023-9/30/2023,0,5513,1/31/2022-1/30/2023,2,12973,9/30/1963,1,528708,1/31/2022-9/30/2023,2,18486,10/9/2023
2023-24,Sept,7/1/2023-9/30/2023,1/31/2023-9/30/2023,0,5513,1/31/2022-1/30/2023,4,12973,9/30/1963,5,528708,1/31/2022-9/30/2023,4,18486,10/9/2023
2023-24,Oct,7/1/2023-10/31/2023,1/31/2023-9/30/2023,0,5513,1/31/2022-1/30/2023,4,12973,9/30/1963,5,528708,1/31/2022-9/30/2023,4,18486,11/09/2023
2023-24,Nov,7/1/2023-11/30/2023,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,12/09/2023
2023-24,Dec,7/1/2023-12/31/2023,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,1/09/2024
2023-24,Jan,7/1/2023-1/31/2024,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,2/09/2024
2023-24,Feb,7/1/2023-2/29/2024,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,3/09/2024
2023-24,Mar,7/1/2023-3/31/2024,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,4/09/2024
2023-24,Apr,7/1/2023-4/30/2024,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,5/09/2024
2023-24,May,7/1/2023-5/31/2024,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,6/09/2024
2023-24,Jun,7/1/2023-6/30/2024,1/31/2023-9/30/2023,,,1/31/2022-1/30/2023,,,9/30/1963,,,1/31/2022-9/30/2023,,,7/09/2024
